Risk,Description,Category,Level,Type,Key,Traversal Parameters,URL
Owned by BIS Unverified List Entity (May Include 'PSA' Path),"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the BIS Unverified List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owned_by_usa_bis_unverified_entity,"{'max': 6, 'psa': True, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['usa_bis_unverified']}",
Owned by Entity in BIS Entity List,"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the BIS Entity List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owned_by_usa_bis_entity,"{'max': 3, 'psa': False, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['usa_bis']}",
Owned by Entity in BIS Entity List (May Include 'PSA' Path),"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the BIS Entity List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owned_by_usa_bis_entity,"{'max': 6, 'psa': True, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['usa_bis']}",
Owned by Entity in Export Controls List,"The entity is possibly owned (minority, majority, or wholly) by an entity in an export controls list up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owned_by_entity_in_export_controls,"{'max': 3, 'psa': False, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['export_controls']}",
Owned by Entity in Export Controls List (May Include 'PSA' Path),"The entity is possibly owned (minority, majority, or wholly) by an entity in an export controls list up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owned_by_entity_in_export_controls,"{'max': 6, 'psa': True, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['export_controls']}",
Owned by ISN Nonproliferation Sanctions List Entity,"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the ISN Nonproliferation Sanctions List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owned_by_usa_isn_entity,"{'max': 3, 'psa': False, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['usa_isn']}",
Owned by ISN Nonproliferation Sanctions List Entity (May Include 'PSA' Path),"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the ISN Nonproliferation Sanctions List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owned_by_usa_isn_entity,"{'max': 6, 'psa': True, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['usa_isn']}",
Owned by Japan METI End User List Entity,"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the Japan METI End User List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owned_by_jpn_meti_end_user_entity,"{'max': 3, 'psa': False, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['jpn_meti_end_user']}",
Owned by Japan METI End User List Entity (May Include 'PSA' Path),"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the Japan METI End User List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owned_by_jpn_meti_end_user_entity,"{'max': 6, 'psa': True, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['jpn_meti_end_user']}",
Owned by Japan MOFA Export Ban List Entity,"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the Japan MOFA Export Ban List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owned_by_jpn_mofa_export_ban_entity,"{'max': 3, 'psa': False, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['jpn_mofa_export_ban']}",
Owned by Japan MOFA Export Ban List Entity (May Include 'PSA' Path),"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the Japan MOFA Export Ban List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owned_by_jpn_mofa_export_ban_entity,"{'max': 6, 'psa': True, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['jpn_mofa_export_ban']}",
Owned by Listed on Non-SDN Chinese Military-Industrial Complex Companies (NS-CMIC) List,"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the USA Department of the Treasury Non-SDN Chinese Military-Industrial Complex Companies List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owned_by_cmic_entity,"{'max': 3, 'psa': False, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['cmic_entity']}",https://home.treasury.gov/policy-issues/financial-sanctions/consolidated-sanctions-list/ns-cmic-list
Owned by Listed on Non-SDN Chinese Military-Industrial Complex Companies (NS-CMIC) List (May Include 'PSA' Path),"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the USA Department of the Treasury Non-SDN Chinese Military-Industrial Complex Companies List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owned_by_cmic_entity,"{'max': 6, 'psa': True, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['cmic_entity']}",https://home.treasury.gov/policy-issues/financial-sanctions/consolidated-sanctions-list/ns-cmic-list
Owned by Military-Civil Fusion (MCF) Entity,"The entity is possibly owned (minority, majority, or wholly) by a Chinese company possibly associated with China's Military-Civil Fusion (MCF) program, based on keywords found in the company's name, address, or business purpose, up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,Elevated,network,owned_by_military_civil_fusion,"{'max': 3, 'psa': False, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['military_civil_fusion']}",
Owned by Military-Civil Fusion (MCF) Entity (May Include 'PSA' Path),"The entity is possibly owned (minority, majority, or wholly) by a Chinese company possibly associated with China's Military-Civil Fusion (MCF) program, based on keywords found in the company's name, address, or business purpose, up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,Elevated,network,psa_owned_by_military_civil_fusion,"{'max': 6, 'psa': True, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['military_civil_fusion']}",
Owned by USA NDAA Section 1260H List Entity,"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the USA NDAA Section 1260H List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owned_by_usa_section_1260h_entity,"{'max': 3, 'psa': False, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['usa_section_1260h']}",
Owned by USA NDAA Section 1260H List Entity (May Include 'PSA' Path),"The entity is possibly owned (minority, majority, or wholly) by an entity listed in the USA NDAA Section 1260H List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owned_by_usa_section_1260h_entity,"{'max': 6, 'psa': True, 'relationships': ['branch_of', 'subsidiary_of', 'has_partner', 'has_beneficial_owner', 'has_owner', 'has_shareholder'], 'risk': ['usa_section_1260h']}",
Owner of AECA Debarred List Entity,"The entity possibly owns (minority, majority, or wholly) an entity listed in the AECA Debarred List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owner_of_usa_aeca_debarred_entity,"{'max': 6, 'psa': False, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_aeca_debarred']}",
Owner of AECA Debarred List Entity (May Include 'PSA' Path),"The entity possibly owns (minority, majority, or wholly) an entity listed in the AECA Debarred List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owner_of_usa_aeca_debarred_entity,"{'max': 6, 'psa': True, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_aeca_debarred']}",
Owner of BIS Denied Persons List Entity,"The entity possibly owns (minority, majority, or wholly) an entity listed in the BIS Denied Persons List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owner_of_usa_bis_denied_persons_entity,"{'max': 6, 'psa': False, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_bis_denied_persons']}",
Owner of BIS Denied Persons List Entity (May Include 'PSA' Path),"The entity possibly owns (minority, majority, or wholly) an entity listed in the BIS Denied Persons List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owner_of_usa_bis_denied_persons_entity,"{'max': 6, 'psa': True, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_bis_denied_persons']}",
Owner of BIS Military End User (MEU) List Entity,"The entity possibly owns (minority, majority, or wholly) an entity listed in the BIS Military End User (MEU) List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owner_of_usa_bis_meu_entity,"{'max': 6, 'psa': False, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_bis_meu']}",
Owner of BIS Military End User (MEU) List Entity (May Include 'PSA' Path),"The entity possibly owns (minority, majority, or wholly) an entity listed in the BIS Military End User (MEU) List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owner_of_usa_bis_meu_entity,"{'max': 6, 'psa': True, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_bis_meu']}",
Owner of BIS Unverified List Entity,"The entity possibly owns (minority, majority, or wholly) an entity listed in the BIS Unverified List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owner_of_usa_bis_unverified_entity,"{'max': 6, 'psa': False, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_bis_unverified']}",
Owner of BIS Unverified List Entity (May Include 'PSA' Path),"The entity possibly owns (minority, majority, or wholly) an entity listed in the BIS Unverified List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owner_of_usa_bis_unverified_entity,"{'max': 6, 'psa': True, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_bis_unverified']}",
Owner of Entity in BIS Entity List,"The entity possibly owns (minority, majority, or wholly) an entity listed in the BIS Entity List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owner_of_usa_bis_entity,"{'max': 6, 'psa': False, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_bis']}",
Owner of Entity in BIS Entity List (May Include 'PSA' Path),"The entity possibly owns (minority, majority, or wholly) an entity listed in the BIS Entity List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owner_of_usa_bis_entity,"{'max': 6, 'psa': True, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_bis']}",
Owner of Entity in Export Controls List,"The entity possibly owns (minority, majority, or wholly) an export-controlled entity up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owner_of_export_controls_entity,"{'max': 6, 'psa': False, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['export_controls']}",
Owner of Entity in Export Controls List (May Include 'PSA' Path),"The entity possibly owns (minority, majority, or wholly) an export-controlled entity up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owner_of_export_controls_entity,"{'max': 6, 'psa': True, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['export_controls']}",
Owner of ISN Nonproliferation Sanctions List Entity,"The entity possibly owns (minority, majority, or wholly) an entity listed in the ISN Nonproliferation Sanctions List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owner_of_usa_isn_entity,"{'max': 6, 'psa': False, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_isn']}",
Owner of ISN Nonproliferation Sanctions List Entity (May Include 'PSA' Path),"The entity possibly owns (minority, majority, or wholly) an entity listed in the ISN Nonproliferation Sanctions List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owner_of_usa_isn_entity,"{'max': 6, 'psa': True, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_isn']}",
Owner of Japan METI End User List Entity,"The entity possibly owns (minority, majority, or wholly) an entity listed in the Japan METI End User List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owner_of_jpn_meti_end_user_entity,"{'max': 6, 'psa': False, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['jpn_meti_end_user']}",
Owner of Japan METI End User List Entity (May Include 'PSA' Path),"The entity possibly owns (minority, majority, or wholly) an entity listed in the Japan METI End User List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owner_of_jpn_meti_end_user_entity,"{'max': 6, 'psa': True, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['jpn_meti_end_user']}",
Owner of Japan MOFA Export Ban List Entity,"The entity possibly owns (minority, majority, or wholly) an entity listed in the Japan MOFA Export Ban List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owner_of_jpn_mofa_export_ban_entity,"{'max': 6, 'psa': False, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['jpn_mofa_export_ban']}",
Owner of Japan MOFA Export Ban List Entity (May Include 'PSA' Path),"The entity possibly owns (minority, majority, or wholly) an entity listed in the Japan MOFA Export Ban List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owner_of_jpn_mofa_export_ban_entity,"{'max': 6, 'psa': True, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['jpn_mofa_export_ban']}",
Owner of USA NDAA Section 1260H List Entity,"The entity possibly owns (minority, majority, or wholly) an entity listed in the USA NDAA Section 1260H List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally.",export_controls,High,network,owner_of_usa_section_1260h_entity,"{'max': 6, 'psa': False, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_section_1260h']}",
Owner of USA NDAA Section 1260H List Entity (May Include 'PSA' Path),"The entity possibly owns (minority, majority, or wholly) an entity listed in the USA NDAA Section 1260H List up to 3 hops away via direct shareholding relationships with 10% or more controlling interest, including beneficial owner, owner, shareholder, partner, subsidiary, or branch. Applicable to entities globally. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",export_controls,High,network,psa_owner_of_usa_section_1260h_entity,"{'max': 6, 'psa': True, 'relationships': ['has_branch', 'has_subsidiary', 'partner_of', 'beneficial_owner_of', 'owner_of', 'shareholder_of'], 'risk': ['usa_section_1260h']}",
Possibly the Same As (PSA) Entity Displays Active License from Federal Security Service of the Russian Federation (FSB RF),"The entity is possibly the same as an entity that displays an active license from the Federal Security Service of the Russian Federation (FSB RF), which allows companies to work on projects classified as a state secret. The entities did not meet the threshold required to merge them into a single entity, but they may be the same.",export_controls,High,psa,psa_entity_licensed_with_fsb_rf,,https://www.fincen.gov/sites/default/files/2022-06/FinCEN%20and%20Bis%20Joint%20Alert%20FINAL.pdf
Possibly the Same As (PSA) Entity in Export Controls List,"The entity is Possibly the Same As (PSA) an entity subject to export controls. The entities did not meet the threshold required to merge them into a single entity, but they are likely the same.",export_controls,Critical,psa,psa_export_controls,,
Possibly the Same As (PSA) Military-Civil Fusion Entity,"The entity is possibly the same as an entity that is a Chinese company possibly associated with China's Military-Civil Fusion (MCF) program based on keywords found in the company's name, address, or business purpose. The entities did not meet the threshold required to merge them into a single entity, but they may be the same.",export_controls,High,psa,psa_military_civil_fusion,,
Possibly the Same As (PSA) USA BIS Boycott Requester List Entity,"The entity is possibly the same as an entity listed on the USA BIS Boycott Requester List as having made a boycott-related request in connection with a transaction in the interstate or foreign commerce of the United States and has been reported to BIS as required by Section 760.5 of the EAR. The entities did not meet the threshold required to merge them into a single entity, but they may be the same.",export_controls,Elevated,psa,psa_bis_boycott_requester_list,,
Procurement Activity in High-Risk Jurisdiction,"This entity appears in government procurement records — either as a contractor or agency — in China, Russia, or Venezuela. These jurisdictions are subject to U.S. export controls under §744.21 of the Export Administration Regulations (EAR), which imposes licensing requirements on certain items destined for military end uses or end users in countries classified under Country Group D:5. These countries are also frequently associated with broader sanctions exposure and state-driven industrial policy. Presence in this procurement context may warrant further review for potential diversion, compliance risk, or geopolitical sensitivity.",export_controls,High,seed,meu_list_contractors,,
Related to Export Controls,The entity is 1 hop away from an entity subject to export controls. Applies to all relationship types that do not signify ownership.,export_controls,Elevated,network,export_controls_adjacent,"{'max': 1, 'page': 1, 'risk': ['export_controls']}",
Subsidiary or Affiliate of USA National Defense Authorization Act Section 889 Covered Entities,The entity may be subject to US public procurement restrictions per section 889 of the John S. McCain National Defense Authorization Act as it is a subsidiary or affiliate of a covered entity. Subsidiaries and affiliates of covered entities are subject to the same restrictions as their parent companies and the regulation prohibits the government from obtaining certain telecommunications equipment produced by these entities and from contracting with any entity that uses such equipment.,export_controls,High,network,subsidiary_of_ndaa_889_covered_entities,"{'max': 3, 'psa': False, 'relationships': ['subsidiary_of', 'has_shareholder'], 'risk': ['ndaa_889_covered_entities']}",
USA BIS Boycott Requester List Entity,The entity is listed on the USA BIS Boycott Requester List as having made a boycott-related request in connection with a transaction in the interstate or foreign commerce of the United States and has been reported to BIS as required by Section 760.5 of the EAR.,export_controls,Elevated,seed,bis_boycott_requester_list,,
Conflict Minerals Risk,"This entity may have exported Tin, Tantalum, Tungsten, or Gold (3TG) from a country classified as a conflict-affected and high-risk area (CAHRA) under the EU Conflict Minerals Regulation",forced_labor,Elevated,network,exports_conflict_minerals,"{'max': 1, 'psa': False, 'relationships': ['ships_to'], 'risk': ['imports_conflict_minerals']}",
Conflict Minerals Risk (May Include 'PSA' Path),"This entity may have exported Tin, Tantalum, Tungsten, or Gold (3TG) from a country classified as a conflict-affected and high-risk area (CAHRA) under the EU Conflict Minerals Regulation This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",forced_labor,Elevated,network,psa_exports_conflict_minerals,"{'max': 3, 'psa': True, 'relationships': ['ships_to'], 'risk': ['psa_imports_conflict_minerals']}",
Direct Trade History with ASPI Entity,"Historical shipment records suggest that the entity possibly traded directly with an entity mentioned in the following forced labor report: ""Uyghurs for sale: ‘Re-education’, forced labour and surveillance beyond Xinjiang"" by Australian Strategic Policy Institute, that was identified in tier 1 of their supplier network using global import & export data.",forced_labor,Elevated,network,forced_labor_aspi_origin_direct,"{'max': 1, 'psa': False, 'relationships': ['receives_from'], 'risk': ['aspi_uyghur_forced_labor_report_entity']}",
Direct Trade History with ASPI Entity (May Include 'PSA' Path),"Historical shipment records suggest that the entity possibly traded directly with an entity mentioned in the following forced labor report: ""Uyghurs for sale: ‘Re-education’, forced labour and surveillance beyond Xinjiang"" by Australian Strategic Policy Institute, that was identified in tier 1 of their supplier network using global import & export data. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",forced_labor,Elevated,network,psa_forced_labor_aspi_origin_direct,"{'max': 3, 'psa': True, 'relationships': ['receives_from'], 'risk': ['aspi_uyghur_forced_labor_report_entity']}",
Direct Trade History with Entity from Sheffield Hallam University Forced Labor Reports,Historical shipment records suggest that the entity possibly traded directly with an entity mentioned in Sheffield Hallam University Forced Labor Reports that was identified in tier 1 of their supplier network using global import & export data.,forced_labor,High,network,forced_labor_sheffield_hallam_university_reports_origin_direct,"{'max': 1, 'psa': False, 'relationships': ['receives_from'], 'risk': ['sheffield_hallam_university_forced_labor_entity']}",
Direct Trade History with Entity from Sheffield Hallam University Forced Labor Reports (May Include 'PSA' Path),"Historical shipment records suggest that the entity possibly traded directly with an entity mentioned in Sheffield Hallam University Forced Labor Reports that was identified in tier 1 of their supplier network using global import & export data. This network risk path may include ‘Possibly the Same As’ (PSA) relationships—links between companies or persons that have closely matching attributes across datasets, but do not have enough shared information to definitively establish they are the same entity.",forced_labor,High,network,psa_forced_labor_sheffield_hallam_university_reports_origin_direct,"{'max': 3, 'psa': True, 'relationships': ['receives_from'], 'risk': ['sheffield_hallam_university_forced_labor_entity']}",
